Date,Long Iram,Barong Tongkok,Kembang Janggut,Karang Tunggal,Damai,Muara Ancalong,Muara Kaman,Panyinggahan,Sumber Sari,Tj. Issuy,Tenggarong,Muara Wahau
19-Mar-08,-,0,0,0,0,0,0,0.5,0,0,0,0
20-Mar-08,-,5,0,16,0.7,11.1,0,0,16.5,75.2,0,15.2
21-Mar-08,-,0,0,0,12.5,0,0,9.4,0,2.6,89.2,0
22-Mar-08,-,0,0,39,3.6,0,72.6,71,36.5,7,0,0
23-Mar-08,-,0,0,16,0,0,53.7,0,10.5,0,93.4,0
24-Mar-08,-,0,0,12,23.5,0,26.4,19,16.5,0,0,0
25-Mar-08,-,0,0,0,80.4,40.2,0,20.6,0,0.5,0,33.6
26-Mar-08,-,0,0,0,0,0,38.5,0,0,0,0,0
27-Mar-08,-,0,0,0,0,0,0,18.3,0,1,0,0
28-Mar-08,-,0,0,0,22.4,0,46.8,0,2.5,0,0,0
29-Mar-08,-,0,0,0,0,0,0,0.5,0,0,0,0
30-Mar-08,-,0,0,16,40.2,15.5,0,0,15.4,0,94.6,13.6
31-Mar-08,-,0,0,0,0.6,0,0,20.4,0,0,0,0
01-Apr-08,-,0,2.5,0,10.2,0,0,21.2,0,0,38.4,0
02-Apr-08,-,0,2.1,0,0,0,48.6,0,2.3,0,0,0
03-Apr-08,-,27,3.2,0,0,0,52.5,30,0,0,0,15.2
04-Apr-08,-,0,1.3,0,50.4,22.2,0,30.5,0,0.5,0,11.5
05-Apr-08,-,17,4.2,21,0,0,0,9.9,24.5,38.5,118.5,0
06-Apr-08,-,0,1.4,0,0,12.6,64.7,0,2.5,0,0,15.2
07-Apr-08,-,0,0,0,3.5,0,57.2,0,0,0,0,30.6
08-Apr-08,-,1,0,0,0,0,63.5,0,0,20.3,0,0
09-Apr-08,-,0,0,56,0,0,0,0,50.6,0,0,0
10-Apr-08,-,9,0,0,5.8,0,65.4,0,0,0,0,0
11-Apr-08,-,0,2.6,16,0,0,47.6,20,15.2,16.8,53.6,0
12-Apr-08,-,0,1.4,0,0,0,52.7,20.6,0,0,0,15.2
13-Apr-08,-,28,2.1,10,40.6,0,67.3,31.1,1.2,0,0,0
14-Apr-08,-,12,3.5,0,1.2,0,0,0,1,11.4,12.7,0
15-Apr-08,-,0,1.2,10,51.4,0,0,0,15.2,0,4.3,0
16-Apr-08,-,0,4.3,0,0,0,0,9.4,0,0,75.8,0
17-Apr-08,-,13,0,0,0,0,28.5,0,0,0,0,30.2
18-Apr-08,-,0,1.5,0.9,0,45,46.2,0,10.2,43.1,0,15.2
19-Apr-08,-,0,2.7,0,0,0,0,10,0,0,0,0
20-Apr-08,-,6,1.2,0.7,17.5,50.2,57.6,19.2,0.6,0,0,30.6
21-Apr-08,-,0,5.7,0,41.2,0,53.4,28.5,0,0.6,20.5,15.2
22-Apr-08,-,0,0,61,3.5,0,47.8,51.5,25.4,15.7,0,0
23-Apr-08,-,0,0,0.8,0,0,52.6,10,6.5,16.2,0,0
24-Apr-08,-,13,0,10,0,0,0,10,10.2,18.4,132.7,0
25-Apr-08,-,0,2.5,15,30.5,0,0,0,15.4,11.2,44.2,0
26-Apr-08,-,0,1.3,0.6,0,43.1,64.5,0,0.5,2.9,31.4,20.5
27-Apr-08,-,5,1.4,0,1.2,0,56.7,0.5,0,3.7,0,15.2
28-Apr-08,-,24,3.5,0,0,0,0,0,0,0,0,0
29-Apr-08,-,0,3.4,0,23.5,0,25.7,0,0,57.2,10.8,0
30-Apr-08,-,0,2.5,56,1.5,0,0,47,51.2,21.3,0,0
01-May-08,-,15,1.7,0,1.5,31.1,45.2,10,0,2.3,0,30.6
02-May-08,-,0,1.2,0,0,0,27.6,0,0,40.5,0,0
03-May-08,-,0,2.1,0.9,0,22.2,53.4,9.6,10.2,0,0,12.5
04-May-08,-,27,3.4,0,51.2,0,0,0,0,38.4,47.3,30.6
05-May-08,-,0,5.2,0,0,0,26.5,0,0,0,0,0
06-May-08,-,0,4.6,0,11.8,51.6,0,10,0,0,0,15.2
07-May-08,-,20,2.5,0,0,17.2,0,7,0,3.4,85.7,20.5
08-May-08,-,0,1.3,13,6.9,0,57.6,41,12.5,25.7,0,0
09-May-08,-,0,7.3,23,0,40.1,46.4,0,21.2,12.8,0,25.8
10-May-08,-,9,0,0,12.5,0,0,20.5,0,0,0,0
11-May-08,-,0,5.1,0,24.1,0,0,62,0,60.8,0,0
12-May-08,-,0,3.5,0,0,0,0,0,0,0,0,0
13-May-08,-,0,1.3,0,20.5,0,62.5,0,15.2,16.7,108.4,0
14-May-08,-,15,12.6,0,0,0,0,10,0,11.5,0,15.3
15-May-08,-,0,0,0,2.6,0,53.7,0,0,0,0,0
16-May-08,-,24,2.7,0,0,0,41.6,0,0,20.3,0,0
17-May-08,-,0,1.5,0,0,0,0,0,0,0,31.3,0
18-May-08,-,2,3.6,0,0,0,0,0,0,0,0,0
19-May-08,-,9,0,0,7.6,0,0,0,0,0,11.6,27.1
20-May-08,-,0,0,0,1.5,0,0,0,2.1,0,24.5,0
21-May-08,-,8,0,40,0,0,56.5,0,40.2,11.5,0,0
22-May-08,-,0,0,0,0,0,47.4,0,0,0,0,0
23-May-08,-,29,0,0,0,0,0,0,0,0,95.8,0
24-May-08,-,0,0,14,0,0,62.3,0,15.2,0,33.2,0
25-May-08,-,2.6,2.4,0,0,0,0,0,0,0,7.9,15.2
26-May-08,-,0,3.5,0,11.5,0,0,0,0,0,0,0
27-May-08,-,4,0,27,0,21.2,0,0,20.1,3.8,0,33.6
28-May-08,-,8,6.3,0,0,0,64.6,0,0,0,0,0
29-May-08,-,0,7.7,0,0,0,0,0,2.1,0,0,0
30-May-08,-,0,0,0,21.5,0,0,0,0,0,0,0
31-May-08,-,0,0,0,0,20.5,0,0,0,0,56.4,16.2
01-Jun-08,-,10,0,0.3,0.6,22.5,52.5,0,0.8,0,70.8,15.2
02-Jun-08,-,11,0,0.4,2.5,0,0,20,0.6,28.5,16.4,0
03-Jun-08,-,0,2.5,0.3,0,0,47.6,0,0.5,10.5,0,0
04-Jun-08,-,6,1.7,0,0,31.3,0,0,0,0,0,0.5
05-Jun-08,-,12,2.4,89,0,0,0,0,50.2,33.9,0,0
06-Jun-08,-,0,5.7,0.35,3.5,20.1,63.4,0,2.5,0.5,0,3.6
07-Jun-08,-,0,4.6,0,0,0,45.7,0,0,7.5,112.5,15.2
08-Jun-08,-,7,3.4,0,1.5,0,0,0,0,0,0,0
09-Jun-08,-,0,1.7,62,0,0,0,0,30.2,0,22.7,0
10-Jun-08,-,0,10.6,0.3,0,10,0,57,30.2,12.4,4.6,10.5
11-Jun-08,-,0,0,0,35.6,0,48.2,0,0,0,0,0
